"alpha1","alpha2","alpha3"
2.95750473259935,-2.8595529717765,-1.47249821073871
2.96090556400771,-2.90211303259031,-1.23606797749979
2.9640608246149,-2.93716632225726,-0.994759548659419
2.96698378771336,-2.96457450145738,-0.749525258342899
2.96968730422183,-2.98422940262896,-0.501332934257217
2.97218379864579,-2.99605345685654,-0.251162078117254
2.9744852653865,-3,2.44929359829471e-16
2.97660326537701,-2.99605345685654,0.251162078117254
2.97854892302386,-2.98422940262896,0.501332934257218
2.98033292343441,-2.96457450145738,0.7495252583429
2.98196550990999,-2.93716632225726,0.994759548659419
2.98345648168609,-2.90211303259031,1.23606797749979
2.98481519190142,-2.8595529717765,1.47249821073871
2.98605054577853,-2.80965410493204,1.70311716626029
2.9871709989993,-2.75261336008773,1.92701469640686
2.98818455625954,-2.68865585100403,2.14330717991599
2.98909876998767,-2.61803398874989,2.35114100916989
2.98992073921311,-2.54102648555158,2.54969595899476
2.99065710857106,-2.45793725484282,2.73818842371475
2.99131406743095,-2.36909421185738,2.91587450968565
2.99189734913664,-2.27484797949738,3.08205297110316
2.99241223034741,-2.17557050458495,3.23606797749979
2.99286353046944,-2.07165358995799,3.37731170200806
2.99325561116837,-1.96350734820343,3.50522672017545
2.99359237595426,-1.85155858313015,3.61930820986408
2.9938772698313,-1.73624910536936,3.71910594355301
2.9941132790051,-1.61803398874989,3.80422606518061
2.99430293064146,-1.49737977432971,3.87433264451452
2.99444829267145,-1.37476262917145,3.92914900291475
2.99455097363789,-1.25066646712861,3.96845880525791
2.99461212257998,-1.12558103905863,3.99210691371309
2.99463242895281,-1,4
2.99461212257998,-0.874418960941373,3.99210691371309
2.99455097363789,-0.749333532871391,3.96845880525791
2.99444829267145,-0.62523737082855,3.92914900291475
2.99430293064146,-0.50262022567029,3.87433264451452
2.9941132790051,-0.381966011250105,3.80422606518061
2.9938772698313,-0.263750894630643,3.71910594355301
2.99359237595426,-0.148441416869854,3.61930820986408
2.99325561116837,-0.03649265179657,3.50522672017545
2.99286353046944,0.0716535899579929,3.37731170200806
2.99241223034741,0.175570504584946,3.23606797749979
2.99189734913664,0.274847979497379,3.08205297110316
2.99131406743095,0.369094211857377,2.91587450968565
2.99065710857106,0.457937254842823,2.73818842371475
2.98992073921311,0.541026485551579,2.54969595899476
2.98909876998767,0.618033988749895,2.35114100916989
2.98818455625954,0.68865585100403,2.14330717991599
2.98717099899929,0.752613360087727,1.92701469640686
2.98605054577853,0.809654104932039,1.70311716626029
2.98481519190142,0.859552971776503,1.47249821073871
2.98345648168609,0.902113032590307,1.23606797749979
2.98196550990999,0.937166322257262,0.99475954865942
2.98033292343441,0.964574501457377,0.7495252583429
2.97854892302386,0.984229402628956,0.501332934257218
2.97660326537701,0.996053456856543,0.251162078117254
2.9744852653865,1,2.44929359829471e-16
2.97218379864579,0.996053456856543,-0.251162078117254
2.96968730422183,0.984229402628956,-0.501332934257217
2.96698378771336,0.964574501457377,-0.749525258342899
2.9640608246149,0.937166322257262,-0.994759548659419
2.96090556400771,0.902113032590307,-1.23606797749979
2.95750473259935,0.859552971776503,-1.47249821073871
2.9538446391343,0.809654104932039,-1.70311716626029
2.94991117919863,0.752613360087727,-1.92701469640686
